#group,false,false,false,false,false,true,false,false
#datatype,string,long,string,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string
#default,_result,,,,,,,
,result,table,_field,_start,_stop,_time,_value,equipmentId
,,25,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-04T17:00:00Z,120,122937
,,26,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-04T18:00:00Z,0.2523006904715305,122937
,,26,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-04T18:00:00Z,120,122937
,,27,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-04T19:00:00Z,0.2518784656000773,122937
,,27,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-04T19:00:00Z,120,122937
,,28,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-04T20:00:00Z,0.2535436167023383,122937
,,28,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-04T20:00:00Z,120,122937
,,29,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-04T21:00:00Z,0.25344524201526647,122937
,,29,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-04T21:00:00Z,120,122937
,,30,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-04T22:00:00Z,0.24473788591500173,122937
,,30,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-04T22:00:00Z,120,122937
,,31,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-04T23:00:00Z,0.2506539010874261,122937
,,31,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-04T23:00:00Z,120,122937
,,32,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T00:00:00Z,0.2518628163217036,122937
,,32,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T00:00:00Z,120,122937
,,33,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T01:00:00Z,0.2492148805983819,122937
,,33,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T01:00:00Z,120,122937
,,34,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T02:00:00Z,0.24774813566638948,122937
,,34,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T02:00:00Z,120,122937
,,35,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T03:00:00Z,0.24961210397540196,122937
,,35,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T03:00:00Z,120,122937
,,36,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T04:00:00Z,0.2496077561642075,122937
,,36,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T04:00:00Z,120,122937
,,37,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T05:00:00Z,0.2492956249374686,122937
,,37,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T05:00:00Z,120,122937
,,38,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T06:00:00Z,0.24918674835058424,122937
,,38,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T06:00:00Z,120,122937
,,39,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T07:00:00Z,0.24800333294198357,122937
,,39,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T07:00:00Z,120,122937
,,40,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T08:00:00Z,0.2522152884768253,122937
,,40,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T08:00:00Z,120,122937
,,41,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T09:00:00Z,0.25329888828167385,122937
,,41,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T09:00:00Z,120,122937
,,42,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T10:00:00Z,0.22574993809998406,122937
,,42,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T10:00:00Z,120,122937
,,43,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T11:00:00Z,0.38029123269257864,122937
,,43,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T11:00:00Z,120,122937
,,44,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T12:00:00Z,0.5214246001876068,122937
,,44,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T12:00:00Z,120,122937
,,45,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T13:00:00Z,0.5244918378170692,122937
,,45,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T13:00:00Z,120,122937
,,46,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T14:00:00Z,0.5175594184361946,122937
,,46,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T14:00:00Z,120,122937
,,47,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T15:00:00Z,0.5187264640033722,122937
,,47,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T15:00:00Z,120,122937
,,48,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T16:00:00Z,0.5192765489938609,122937
,,48,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T16:00:00Z,120,122937
,,49,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T17:00:00Z,0.5221500624323188,122937
,,49,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T17:00:00Z,120,122937
,,50,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T18:00:00Z,0.5219548844466994,122937
,,50,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T18:00:00Z,120,122937
,,51,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T19:00:00Z,0.5259854172714743,122937
,,51,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T19:00:00Z,120,122937
,,52,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T20:00:00Z,0.5251548215035163,122937
,,52,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T20:00:00Z,120,122937
,,53,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T21:00:00Z,0.5224555218530104,122937
,,53,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T21:00:00Z,120,122937
,,54,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T22:00:00Z,0.5189676062851376,122937
,,54,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T22:00:00Z,120,122937
,,55,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T23:00:00Z,0.5235028933831194,122937
,,55,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-05T23:00:00Z,120,122937
,,56,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T00:00:00Z,0.43682881336496143,122937
,,56,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T00:00:00Z,120,122937
,,57,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T01:00:00Z,0.3201836613707055,122937
,,57,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T01:00:00Z,120,122937
,,58,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T02:00:00Z,0.4876939628942871,122937
,,58,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T02:00:00Z,120,122937
,,59,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T03:00:00Z,0.44688431370713977,122937
,,59,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T03:00:00Z,120,122937
,,60,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T04:00:00Z,0.34741356661032785,122937
,,60,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T04:00:00Z,120,122937
